taxlevel	rankID	taxon	daughterlevels	total	01_dcm_SernOcean	02_surface_SernOcean	03_meso_SPacific	04_surface_NAtlantic	05_dcm_SPacific	06_surface_SPacific
2	0.1.1	Archaea_unclassified	1	289	3	0	138	61	33	54
2	0.1.2	Euryarchaeota	4	990	6	0	199	256	261	268
2	0.1.3	Thaumarchaeota	4	1391	1	0	1248	134	8	0
2	0.2.1	Acidobacteria	2	17	0	0	17	0	0	0
2	0.2.2	Actinobacteria	3	1587	2	2	434	339	385	425
2	0.2.3	Bacteria_unclassified	1	8372	1304	1119	1657	1596	1461	1235
2	0.2.4	Bacteroidetes	5	6167	1747	2086	417	911	256	750
2	0.2.5	Candidate_division_OD1	1	1	0	0	1	0	0	0
2	0.2.6	Candidate_division_TM7	1	16	0	0	12	0	3	1
2	0.2.7	Chlamydiae	1	7	0	0	2	0	1	4
2	0.2.8	Chloroflexi	2	168	0	0	74	13	78	3
2	0.2.9	Cyanobacteria	3	3998	217	247	272	1053	778	1431
2	0.2.10	Deferribacteres	1	1295	1	0	331	230	358	375
2	0.2.11	Firmicutes	2	6	0	0	2	3	1	0
2	0.2.12	Gemmatimonadetes	1	67	0	0	59	1	7	0
2	0.2.13	Lentisphaerae	2	6	0	0	4	1	1	0
2	0.2.14	Planctomycetes	4	105	0	0	39	6	37	23
2	0.2.15	Proteobacteria	8	31866	5451	5945	4567	4911	5893	5099
2	0.2.16	Tenericutes	1	1	0	0	1	0	0	0
2	0.2.17	Verrucomicrobia	4	166	0	0	65	36	27	38
