taxlevel	rankID	taxon	daughterlevels	total	01_dcm_SernOcean	02_surface_SernOcean	03_meso_SPacific	04_surface_NAtlantic	05_dcm_SPacific	06_surface_SPacific
0	0	Root	4	60000	10000	10000	10000	10000	10000	10000
1	0.1	Archaea	3	2670	10	0	1585	451	302	322
2	0.1.1	Archaea_unclassified	1	289	3	0	138	61	33	54
3	0.1.1.1	Archaea_unclassified	1	289	3	0	138	61	33	54
4	0.1.1.1.1	Archaea_unclassified	1	289	3	0	138	61	33	54
5	0.1.1.1.1.1	Archaea_unclassified	1	289	3	0	138	61	33	54
6	0.1.1.1.1.1.1	unclassified	0	289	3	0	138	61	33	54
2	0.1.2	Euryarchaeota	4	990	6	0	199	256	261	268
3	0.1.2.1	Euryarchaeota_unclassified	1	770	5	0	145	218	188	214
4	0.1.2.1.1	Euryarchaeota_unclassified	1	770	5	0	145	218	188	214
5	0.1.2.1.1.1	Euryarchaeota_unclassified	1	770	5	0	145	218	188	214
6	0.1.2.1.1.1.1	unclassified	0	770	5	0	145	218	188	214
3	0.1.2.2	Halobacteria	1	32	0	0	1	0	31	0
4	0.1.2.2.1	Halobacteriales	1	32	0	0	1	0	31	0
5	0.1.2.2.1.1	Halobacteriaceae	2	32	0	0	1	0	31	0
6	0.1.2.2.1.1.1	Halorhabdus	0	1	0	0	0	0	1	0
6	0.1.2.2.1.1.2	unclassified	0	31	0	0	1	0	30	0
3	0.1.2.3	Methanomicrobia	2	10	0	0	2	6	1	1
4	0.1.2.3.1	Methanomicrobia_unclassified	1	9	0	0	2	6	0	1
5	0.1.2.3.1.1	Methanomicrobia_unclassified	1	9	0	0	2	6	0	1
6	0.1.2.3.1.1.1	unclassified	0	9	0	0	2	6	0	1
4	0.1.2.3.2	Methanosarcinales	1	1	0	0	0	0	1	0
5	0.1.2.3.2.1	Methanosarcinales_unclassified	1	1	0	0	0	0	1	0
6	0.1.2.3.2.1.1	unclassified	0	1	0	0	0	0	1	0
3	0.1.2.4	Thermoplasmata	2	178	1	0	51	32	41	53
4	0.1.2.4.1	Thermoplasmata_unclassified	1	18	0	0	3	3	8	4
5	0.1.2.4.1.1	Thermoplasmata_unclassified	1	18	0	0	3	3	8	4
6	0.1.2.4.1.1.1	unclassified	0	18	0	0	3	3	8	4
4	0.1.2.4.2	Thermoplasmatales	2	160	1	0	48	29	33	49
5	0.1.2.4.2.1	AMOS1A-4113-D04	1	6	0	0	0	1	1	4
6	0.1.2.4.2.1.1	unclassified	0	6	0	0	0	1	1	4
5	0.1.2.4.2.2	Thermoplasmatales_unclassified	1	154	1	0	48	28	32	45
6	0.1.2.4.2.2.1	unclassified	0	154	1	0	48	28	32	45
2	0.1.3	Thaumarchaeota	4	1391	1	0	1248	134	8	0
3	0.1.3.1	Marine_Group_I	2	1141	1	0	1007	126	7	0
4	0.1.3.1.1	Marine_Group_I_unclassified	1	625	0	0	547	73	5	0
5	0.1.3.1.1.1	Marine_Group_I_unclassified	1	625	0	0	547	73	5	0
6	0.1.3.1.1.1.1	unclassified	0	625	0	0	547	73	5	0
4	0.1.3.1.2	Unknown_Order	1	516	1	0	460	53	2	0
5	0.1.3.1.2.1	Unknown_Family	3	516	1	0	460	53	2	0
6	0.1.3.1.2.1.1	Candidatus_Nitrosoarchaeum	0	33	0	0	30	2	1	0
6	0.1.3.1.2.1.2	Candidatus_Nitrosopumilus	0	225	1	0	190	33	1	0
6	0.1.3.1.2.1.3	unclassified	0	258	0	0	240	18	0	0
3	0.1.3.2	Soil_Crenarchaeotic_Group(SCG)	1	1	0	0	1	0	0	0
4	0.1.3.2.1	Unknown_Order	1	1	0	0	1	0	0	0
5	0.1.3.2.1.1	Unknown_Family	1	1	0	0	1	0	0	0
6	0.1.3.2.1.1.1	Candidatus_Nitrososphaera	0	1	0	0	1	0	0	0
3	0.1.3.3	South_African_Gold_Mine_Gp_1(SAGMCG-1)	2	3	0	0	3	0	0	0
4	0.1.3.3.1	South_African_Gold_Mine_Gp_1(SAGMCG-1)_unclassified	1	1	0	0	1	0	0	0
5	0.1.3.3.1.1	South_African_Gold_Mine_Gp_1(SAGMCG-1)_unclassified	1	1	0	0	1	0	0	0
6	0.1.3.3.1.1.1	unclassified	0	1	0	0	1	0	0	0
4	0.1.3.3.2	Unknown_Order	1	2	0	0	2	0	0	0
5	0.1.3.3.2.1	Unknown_Family	1	2	0	0	2	0	0	0
6	0.1.3.3.2.1.1	Candidatus_Nitrosotalea	0	2	0	0	2	0	0	0
3	0.1.3.4	Thaumarchaeota_unclassified	1	246	0	0	237	8	1	0
4	0.1.3.4.1	Thaumarchaeota_unclassified	1	246	0	0	237	8	1	0
5	0.1.3.4.1.1	Thaumarchaeota_unclassified	1	246	0	0	237	8	1	0
6	0.1.3.4.1.1.1	unclassified	0	246	0	0	237	8	1	0
1	0.2	Bacteria	17	53845	8722	9399	7954	9100	9286	9384
2	0.2.1	Acidobacteria	2	17	0	0	17	0	0	0
3	0.2.1.1	Acidobacteria	2	16	0	0	16	0	0	0
4	0.2.1.1.1	Acidobacteria_unclassified	1	3	0	0	3	0	0	0
5	0.2.1.1.1.1	Acidobacteria_unclassified	1	3	0	0	3	0	0	0
6	0.2.1.1.1.1.1	unclassified	0	3	0	0	3	0	0	0
4	0.2.1.1.2	Subgroup_6	1	13	0	0	13	0	0	0
5	0.2.1.1.2.1	Subgroup_6_unclassified	1	13	0	0	13	0	0	0
6	0.2.1.1.2.1.1	unclassified	0	13	0	0	13	0	0	0
3	0.2.1.2	Acidobacteria_unclassified	1	1	0	0	1	0	0	0
4	0.2.1.2.1	Acidobacteria_unclassified	1	1	0	0	1	0	0	0
5	0.2.1.2.1.1	Acidobacteria_unclassified	1	1	0	0	1	0	0	0
6	0.2.1.2.1.1.1	unclassified	0	1	0	0	1	0	0	0
2	0.2.2	Actinobacteria	3	1587	2	2	434	339	385	425
3	0.2.2.1	Acidimicrobiia	1	1266	0	0	213	303	334	416
4	0.2.2.1.1	Acidimicrobiales	3	1266	0	0	213	303	334	416
5	0.2.2.1.1.1	Acidimicrobiales_unclassified	1	137	0	0	96	13	26	2
6	0.2.2.1.1.1.1	unclassified	0	137	0	0	96	13	26	2
5	0.2.2.1.1.2	OM1_clade	2	999	0	0	39	276	270	414
6	0.2.2.1.1.2.1	Candidatus_Actinomarina	0	995	0	0	39	276	267	413
6	0.2.2.1.1.2.2	unclassified	0	4	0	0	0	0	3	1
5	0.2.2.1.1.3	Sva0996_marine_group	1	130	0	0	78	14	38	0
6	0.2.2.1.1.3.1	unclassified	0	130	0	0	78	14	38	0
3	0.2.2.2	Actinobacteria	6	171	2	2	145	3	16	3
4	0.2.2.2.1	Actinobacteria_unclassified	1	21	0	1	12	3	2	3
5	0.2.2.2.1.1	Actinobacteria_unclassified	1	21	0	1	12	3	2	3
6	0.2.2.2.1.1.1	unclassified	0	21	0	1	12	3	2	3
4	0.2.2.2.2	Corynebacteriales	2	5	0	0	5	0	0	0
5	0.2.2.2.2.1	Corynebacteriaceae	1	1	0	0	1	0	0	0
