Protein Accession (e.g. P51587)	Sequence MD5 digest (e.g. 14086411a2cdf1c4cba63020e1622579)	Sequence Length (e.g. 3418)	Analysis (e.g. database name-- Pfam / PRINTS / Gene3D)	Signature Accession Number (e.g. PF09103 / G3DSA:2.40.50.140)	Signature Description (e.g. BRCA2 repeat profile)	Start location	Stop location	Score - is the e-value of the match reported by member database method (e.g. 3.1E-52)	Status - is the status of the match (T: true)	Date - is the date of the run
scaffold_0_23	4cdb29d65d5e0b8c2b1bce98b6d69004	507	Gene3D	G3DSA:3.30.420.190		254	297	3.60E-04	T	3/10/17
scaffold_0_23	4cdb29d65d5e0b8c2b1bce98b6d69004	507	SUPERFAMILY	SSF53067		268	441	1.30E-19	T	3/10/17
scaffold_0_23	4cdb29d65d5e0b8c2b1bce98b6d69004	507	SUPERFAMILY	SSF53067		1	71	1.92E-06	T	3/10/17
scaffold_0_23	4cdb29d65d5e0b8c2b1bce98b6d69004	507	Pfam	PF05378	Hydantoinase/oxoprolinase N-terminal region	4	171	6.00E-36	T	3/10/17
scaffold_0_23	4cdb29d65d5e0b8c2b1bce98b6d69004	507	Gene3D	G3DSA:3.30.420.40		2	72	5.20E-05	T	3/10/17
scaffold_0_23	4cdb29d65d5e0b8c2b1bce98b6d69004	507	Pfam	PF01968	Hydantoinase/oxoprolinase	191	359	1.20E-20	T	3/10/17
scaffold_0_13	e1ced83a30cff37d8b2633f07fdfae6b	855	Gene3D	G3DSA:1.10.3210.10		124	211	7.60E-07	T	3/10/17
scaffold_0_13	e1ced83a30cff37d8b2633f07fdfae6b	855	Pfam	PF01966	HD domain	130	192	3.90E-07	T	3/10/17
scaffold_0_13	e1ced83a30cff37d8b2633f07fdfae6b	855	SUPERFAMILY	SSF109604		123	193	2.30E-07	T	3/10/17
scaffold_0_4	b26b6e2285726058ef09980b102fc9f0	484	SUPERFAMILY	SSF143968		320	483	4.18E-35	T	3/10/17
scaffold_0_4	b26b6e2285726058ef09980b102fc9f0	484	TIGRFAM	TIGR00148	"TIGR00148: decarboxylase, UbiD family"	15	442	5.00E-80	T	3/10/17
